Day, total infections (oběř), delta discrimined, omicron discrimined
706=7/12/2021,10776,6063,3
707,9703,5499,6
708,8153,4591,0
709,8018,4641,2
710,3603,1996,1
711,3487,1644,0
712,12344,6538,5
713,8719,4588,6
714,7025,3798,1
715,5870,3204,5
716,5688,3197,8
717,3033,1447,7
718,2738,1348,13
719,8907,4404,24
720,5726,2991,16
721,5237,2638,45
722,3389,1822,76
723,474,385,29
724,1112,618,53
725,2326,1100,103
726,6325,3979,194
727,4226,2537,244
728,3463,1898,276
729,3437,1927,438
730,1815,1283,285
731,836,216,113
732,3105,1104,560
733,7197,3901,1866
734,4699,2333,1657
735,4163,1632,1498
736,4211,1467,1634
737,3768,1235,1491
738,2108,431,684
739,2405,300,981
740,7131,1417,3950
741,8004,1199,5039
742,6518,792,4636
743,8723,720,5844
744,8550,589,5823
745,5826,160,2467
746,6740,171,3493
747,23426,791,13653
748,17647,520,10936
749,17640,372,11408
750,18677,370,11906
751,18905,352,11752
752,11118,66,4409
753,14238,48,4613
754,41401,307,21149
755,32485,203,18758
756,31559,141,14945
757,30808,164,15498
758,29445,108,13225
759,13253,22,4899
760,14989,16,5241
761,50271,106,18276
762,39685,70,12465
763,32403,44,10318
764,31323,40,8396
765,24647,29,7557
766,10253,7,2509
767,10924,6,3273
768,41324,37,11519
769,27199,20,7445
770,21692,11,6145
771,20421,38,5771
772,17057,18,4992
773,7052,9,1540
774,7378,5,1408
